head,relation,tail,verdict_qwen,verdict_gpt
circuit switching,causes,bandwidth loss,yes,yes
circuit switching,causes,idle,no,yes
circuit switching,causes,switching delay,no,yes
circuit switching,causes,idle link,yes,yes
packet switching,provides,traffic flow,no,yes
access isp,connects_to,internet,yes,yes
packet switching,provides,flow,no,yes
circuit switching,causes,switching congestion,no,yes
access isp,connects_to,wireless network,yes,yes
access isp,connects_to,network,yes,yes
access isp,connects_to,gateway,yes,yes
access isp,part_of,internet network,yes,yes
access isp,connects_to,link,,yes
access isp,part_of,network infrastructure,yes,yes
dsl,requires,cable and wire,yes,yes
access isp,connects_to,wireless link,,yes
access isp,connects_to,remote host,,yes
access isp,connects_to,cable network,,yes
dsl,requires,access,no,yes
access isp,part_of,internet infrastructure,yes,yes
dsl,requires,data network,,yes
global transit isp,has_part,access route,,yes
dsl,supports,internet,yes,yes
dsl,supports,access and internet,yes,no
global transit isp,has_part,traffic connection,,yes
global transit isp,has_part,bandwidth segment,no,yes
global transit isp,has_part,link,yes,yes
global transit isp,has_part,routing,yes,yes
regional isp,connects_to,core network,yes,yes
global transit isp,has_part,access network,,yes
regional isp,connects_to,tier hub,yes,no
regional isp,connects_to,local hub,yes,yes
regional isp,connects_to,switch node,yes,yes
regional isp,connects_to,data hub,yes,yes
regional isp,connects_to,access network,yes,yes
regional isp,connects_to,gateway,yes,yes
regional isp,connects_to,remote host,,yes
regional isp,connects_to,base station,,yes
global transit isp,has_part,multiple destination path,yes,yes
global transit isp,has_part,bandwidth control,,yes
global transit isp,has_part,traffic route,,yes
access isp,connects_to,tier link,,yes
router,part_of,home network,yes,yes
access isp,part_of,tier network,,yes
larger regional isp,connects_to,core network,yes,yes
larger regional isp,connects_to,data hub,yes,yes
larger regional isp,connects_to,tier network,,yes
access isp,connects_to,tier network,yes,yes
access isp,connects_to,single home,yes,yes
larger regional isp,connects_to,access network,no,yes
regional isp,connects_to,gateway hub,yes,yes
regional isp,connects_to,mobile base,,yes
regional isp,connects_to,sub network,,yes
access isp,part_of,network,yes,yes
host,provides,packet transmission,,yes
queuing delay,increases,average delay,yes,yes
host,provides,congestion control,yes,yes
queuing delay,part_of,delay and congestion,,yes
host,provides,packet transfer,,yes
host,sends,destination,yes,no
transmission delay,increases,average delay,yes,yes
transmission delay,increases,congestion,no,yes
transmission delay,increases,queue delay,,yes
propagation delay,increases,idle time,,yes
propagation delay,increases,collision detection,yes,yes
queue,causes,congestion,yes,no
queue,causes,delay,yes,yes
packet switching,provides,packet forward,yes,yes
packet switching,provides,routing control,yes,yes
queue,causes,output delay,,yes
queue,part_of,link,,yes
queue,part_of,input port,yes,yes
queue,receives,packets,yes,yes
queue,receives,data,yes,yes
queue,receives,segment,yes,yes
queue,receives,message,yes,yes
buffer,receives,packets,yes,yes
queue,connects_to,output,yes,yes
queue,connects_to,input port,yes,no
queue,connects_to,output link,yes,yes
buffer,receives,transmission,yes,yes
queue,part_of,node,yes,yes
queue,receives,data packet,yes,yes
queue,connects_to,port,yes,yes
queue,connects_to,interface,yes,yes
processing delay,increases,queue delay,no,yes
processing delay,increases,packet delay,yes,yes
processing delay,part_of,network delay,yes,yes
processing delay,part_of,routing delay,,yes
router,forwards,information packet,yes,yes
transmission delay,increases,duration,no,yes
transmission delay,increases,packet size,yes,no
propagation delay,increases,time,no,yes
router,receives,routing data,yes,yes
propagation delay,increases,interval,yes,yes
link,provides,bandwidth,yes,yes
link,provides,transmission rate,no,yes
link,supports,transmission rate,yes,yes
link,supports,bandwidth,yes,yes
transmission delay,increases,packet delay,yes,yes
transmission delay,increases,time delay,yes,yes
propagation delay,increases,average delay,yes,yes
transmission delay,increases,queue,,yes
queuing delay,part_of,node delay,yes,yes
traffic intensity,increases,queue length,yes,yes
queue,causes,average delay,yes,yes
queuing delay,part_of,traffic delay,,yes
traffic intensity,increases,congestion,yes,yes
traffic intensity,increases,average delay,yes,yes
queuing delay,increases,packet delay,yes,yes
queuing delay,part_of,delay,yes,yes
queuing delay,increases,congestion delay,no,yes
queue,receives,packet transmission,,yes
packet arrival rate,increases,delay,yes,yes
packet arrival rate,increases,loss,yes,yes
packet arrival rate,increases,queue length,yes,yes
packet arrival rate,increases,delays,,yes
packet arrival rate,increases,congestion,yes,yes
traffic intensity,increases,output rate,no,yes
router,receives,traffic,yes,yes
router,has_part,congestion avoidance,,yes
processing delay,part_of,node delay,yes,yes
processing delay,increases,average delay,yes,yes
processing delay,increases,duration,no,yes
processing delay,part_of,packet delay,yes,yes
router,receives,the address,no,yes
router,receives,each route,no,yes
server,provides,http connection,yes,yes
client,communicates_with,http server,yes,yes
queuing delay,part_of,input delay,yes,yes
server,provides,data access,yes,yes
server,provides,file transfer,yes,yes
router,communicates_with,server,yes,yes
server,is_a,network server,yes,no
router,forwards,outgoing packets,yes,yes
router,receives,data packets,yes,yes
router,communicates_with,receiver,,yes
server,connects_to,client,yes,yes
server,connects_to,client connection,yes,no
server,connects_to,network,yes,yes
server,provides,data transfer,yes,yes
server,provides,service rate,no,yes
client,connects_to,network,yes,yes
server,provides,client connection,no,yes
packet,has_part,destination address,yes,yes
client,connects_to,network connection,yes,no
client,communicates_with,network,yes,yes
smtp,operates_at,application layer,yes,yes
smtp,operates_at,application,yes,yes
smtp,operates_at,application service,yes,yes
http,operates_at,protocol layer,yes,yes
source host,sends,to destination,yes,no
smtp,operates_at,application protocols,yes,no
smtp,provides,message delivery,yes,yes
smtp,provides,mail service,yes,yes
smtp,provides,email transfer,yes,yes
network interface card,implements,message transfer,,yes
wifi,operates_at,data link layer,yes,yes
network interface card,supports,data link,yes,yes
smtp,provides,notification service,yes,no
network interface card,supports,application layer,,yes
network interface card,supports,network protocol,yes,yes
network layer,requires,protocol,yes,yes
network layer,forwards,packet,yes,yes
network layer,forwards,data packet,yes,yes
network layer,requires,control interface,yes,no
network layer,requires,routing protocol,,yes
network layer,forwards,information packet,yes,yes
network layer,forwards,message,yes,yes
internet protocol stack,has_part,http protocol,yes,yes
application layer,has_part,http protocol,yes,yes
network layer,receives,data,yes,yes
application layer,has_part,application protocol,yes,yes
ftp,provides,data transfer,yes,yes
network layer,receives,information,yes,yes
smtp,provides,message transfer,yes,yes
application layer,has_part,application protocols,yes,yes
ftp,provides,transfer,yes,yes
transport layer,provides,congestion - control,yes,yes
tcp,implements,error control,yes,yes
transport layer,provides,error - checks,yes,yes
transport layer,provides,service,yes,yes
transport layer,provides,delivery,yes,yes
transport layer,provides,message - transfer,yes,yes
tcp,implements,window,yes,yes
transport layer,requires,protocol,yes,yes
tcp,provides,congestion avoidance,yes,yes
udp,provides,transport service,yes,yes
transport layer,requires,packet header,,yes
udp,provides,data transfer,yes,yes
transport layer,requires,data transfer,yes,no
tcp,provides,traffic control,yes,yes
end system,connects_to,network system,yes,yes
end system,connects_to,destination,no,yes
end system,sends,the other end,yes,no
network layer,requires,data transfer,yes,no
network layer,receives,ip packet,yes,yes
network layer,receives,data packet,,yes
network layer,receives,control packet,yes,yes
tcp,implements,window control,yes,yes
segment,contains,protocol header,yes,yes
network layer,receives,network packet,yes,yes
network layer,receives,transport layer segment,yes,yes
tcp,implements,error correction,yes,yes
tcp,implements,header checks,yes,yes
network layer,forwards,ip packet,yes,yes
network layer,requires,destination address,yes,yes
tcp,provides,transport service,yes,yes
tcp,provides,data transfer,yes,yes
tcp,provides,error control,yes,yes
network layer,requires,ip protocol,,yes
network layer,forwards,data,yes,yes
network layer,receives,control information,yes,yes
router,part_of,the network,yes,yes
network layer,receives,transport - layer segment,,yes
network layer,requires,data link,yes,yes
network layer,requires,network interface,yes,yes
router,part_of,a network,yes,yes
network layer,receives,destination address,yes,no
network layer,requires,control plane,yes,yes
router,communicates_with,network,yes,yes
router,part_of,its network,yes,yes
router,part_of,the ip network,yes,yes
router,receives,the ip,no,yes
link layer,sends,data,yes,yes
link layer,sends,the data,yes,yes
network layer,receives,link layer data,yes,yes
network layer,receives,link layer,no,yes
network layer,requires,link layer protocol,yes,yes
network layer,requires,link layer service,yes,yes
network layer,requires,link layer transfer,yes,yes
network layer,requires,link layer access,yes,yes
network layer,requires,link layer interface,yes,yes
tcp,implements,connection control,yes,yes
link layer,sends,ethernet frame,yes,yes
link layer,sends,the frame,yes,yes
link layer,sends,frame between links,,yes
router,is_a,a packet switch,yes,yes
router,has_part,link layer,,yes
router,sends,its route,yes,yes
router,receives,destination data,no,yes
transport layer,sends,application message,yes,yes
transport layer,sends,transport - layer header,yes,no
transport layer,provides,header,no,yes
transport layer,provides,congestion checks,,yes
transport layer,requires,header,yes,yes
transport layer,requires,service,no,yes
transport layer,requires,segment,yes,no
connection flooding,is_a,network congestion,yes,no
packet sniffer,receives,broadcast transmission,yes,yes
link layer,sends,link - layer frame,yes,yes
link layer,sends,link - layer data,yes,yes
packet sniffer,receives,message,yes,yes
link layer,sends,link - layer header and frame,yes,yes
packet sniffer,receives,data,yes,yes
packet switch,connects_to,gateway,yes,yes
packet sniffer,receives,packet transmission,yes,yes
packet sniffer,receives,packet frame,yes,yes
packet switch,connects_to,device,yes,yes
packet switch,connects_to,network link,yes,yes
circuit switching,causes,idle resources,yes,yes
tcp,provides,window management,yes,yes
tcp,implements,flow control,yes,yes
packet switching,provides,data transfer,yes,yes
tcp,implements,window calculation,yes,yes
tcp,implements,traffic avoidance,no,yes
tcp,implements,error checks,yes,yes
tcp,provides,transmission service,yes,yes
tcp,provides,bandwidth management,no,yes
http,provides,data,yes,yes
dsl,requires,wire access,yes,yes
http,provides,web,yes,yes
dns,provides,service,yes,yes
circuit switching,causes,transport data,yes,no
dns,provides,application,yes,no
data center,contains,web server,yes,yes
data center,contains,server,yes,yes
data center,contains,application server,yes,yes
browser,communicates_with,network program,yes,yes
browser,is_a,network application,yes,yes
tcp,provides,traffic management,no,yes
data center,contains,control system,yes,yes
data center,provides,network service,yes,yes
data center,enables,remote server,no,yes
data center,provides,server,no,yes
data center,enables,application server,yes,yes
data center,enables,client,no,yes
data center,provides,web service,yes,yes
data center,provides,file server,yes,yes
web server,provides,http service,yes,yes
web server,provides,file response,yes,yes
web server,provides,web page,yes,yes
web server,implements,web application,yes,no
data center,contains,network,yes,yes
web server,provides,request service,yes,yes
web,runs_on,client,yes,no
web,runs_on,protocol,yes,yes
data center,provides,data access,yes,yes
data center,contains,service,no,yes
data center,enables,server access,yes,yes
data center,enables,network service,yes,yes
data center,enables,host distribution,yes,yes
bittorrent,provides,file distribution,yes,yes
bittorrent,provides,error detection,no,yes
bittorrent,implements,congestion avoidance,,yes
bittorrent,implements,file transfer protocol,no,yes
bittorrent,provides,congestion control,no,yes
bittorrent,implements,bandwidth control,yes,yes
bittorrent,implements,data transfer protocol,no,yes
browser,communicates_with,server,yes,yes
web server,provides,http response,yes,yes
bittorrent,implements,error checks,yes,yes
web server,sends,web page,yes,yes
web server,sends,http file,yes,yes
web server,provides,web application,yes,yes
browser,communicates_with,application,,yes
browser,connects_to,web server,yes,yes
browser,connects_to,http server,yes,yes
web server,sends,client,yes,no
browser,connects_to,server,yes,yes
web server,sends,browser,yes,no
browser,is_a,client process,yes,yes
browser,is_a,web client,yes,yes
socket,connects_to,network,yes,yes
socket,connects_to,server connection,yes,no
socket,part_of,process,no,yes
socket,part_of,network,yes,no
socket,part_of,system,yes,yes
socket,part_of,connection,yes,no
socket,part_of,application,,yes
socket,connects_to,port,no,yes
socket,connects_to,host,yes,yes
socket,connects_to,network interface,,yes
socket,part_of,application layer,yes,yes
socket,part_of,host system,yes,yes
socket,sends,a message,yes,yes
socket,sends,the message,yes,yes
socket,part_of,client side,yes,yes
socket,sends,a request,yes,yes
socket,sends,the request,yes,yes
transport protocol,provides,service,yes,yes
socket,sends,a query,yes,yes
transport protocol,provides,congestion control,yes,yes
transport protocol,provides,data transfer,yes,yes
transport protocol,provides,control,no,yes
ip address,identifies,network system,yes,yes
ip address,identifies,client device,yes,yes
transport protocol,provides,packet delivery,yes,yes
socket,connects_to,application,yes,no
socket,sends,message,yes,yes
socket,sends,the segment,,yes
socket,sends,message and connection,yes,no
internet telephony,runs_on,ud host,yes,no
internet telephony,runs_on,rt network,yes,no
udp,provides,error checks,yes,yes
handshaking procedure,enables,client server connection,yes,yes
handshaking procedure,enables,client server data,yes,yes
internet telephony,runs_on,tc server,yes,no
handshaking procedure,enables,client server protocol,yes,yes
tcp,provides,data transfer service,yes,yes
handshaking procedure,enables,client server transport,yes,yes
file transfer,runs_on,protocol,yes,yes
handshaking procedure,enables,client server socket,no,yes
internet telephony,runs_on,internet transport,yes,yes
tcp,provides,transport control,yes,yes
internet telephony,runs_on,application protocol,no,yes
internet telephony,runs_on,network host,,yes
internet telephony,runs_on,rt service,yes,no
tls,provides,data transfer,no,yes
tls,provides,service,yes,yes
internet telephony,runs_on,internet service,yes,no
web,runs_on,tc protocol,yes,no
internet telephony,runs_on,ud transport protocol,yes,no
internet telephony,runs_on,client host,yes,yes
internet telephony,runs_on,rt control,yes,no
file transfer,runs_on,tc,yes,no
http,enables,browser,yes,yes
http,enables,client request,yes,yes
http,operates_at,application layer protocol,yes,yes
http,enables,web server,no,yes
http,provides,http header,no,yes
http,enables,http header,no,yes
http,provides,http request,no,yes
http,supports,http header,yes,yes
http,provides,http transfer,,yes
http,runs_on,transport protocol,yes,yes
http,supports,http request,yes,yes
http,supports,http service,yes,yes
http,supports,http message,yes,yes
chrome,implements,http protocol,yes,yes
http,runs_on,application layer,,yes
http,enables,web application,yes,yes
chrome,implements,client protocol,yes,yes
chrome,implements,http request,,yes
apache,provides,http protocol,yes,yes
apache,provides,application server,yes,no
http,enables,browser user,yes,yes
http,supports,request,yes,yes
http,provides,file transfer,yes,yes
http,provides,message service,yes,yes
http,supports,web service,yes,yes
http,enables,internet service,yes,yes
http,supports,client - server,yes,yes
http,enables,browser client,yes,yes
http,provides,packet transfer,no,yes
http,supports,mail service,,yes
dns,provides,network service,yes,yes
dns,provides,application service,yes,yes
internet explorer,implements,web browser,yes,yes
dns,provides,address service,yes,yes
internet explorer,implements,http protocol,,yes
internet explorer,implements,web client,yes,yes
chrome,implements,web client,yes,yes
internet explorer,implements,internet browser,no,yes
apache,provides,http server,yes,yes
url,has_part,file name,yes,yes
chrome,implements,browser client,yes,yes
apache,provides,data delivery,yes,yes
udp,provides,transport,yes,yes
tcp,provides,data service,yes,yes
udp,provides,service,yes,yes
tcp,provides,connection service,yes,yes
http,runs_on,tc,yes,no
tcp,provides,message checks,yes,yes
http,provides,response,yes,yes
http,supports,message,yes,yes
http,provides,message,no,yes
http,supports,response,yes,yes
http,provides,header data,,yes
web server,sends,http message,yes,yes
web server,implements,http protocol,yes,yes
http,enables,file request,yes,yes
http,enables,web messages,yes,yes
http,enables,server request,yes,yes
web server,sends,page to client,yes,no
http,enables,browser request,yes,yes
http,enables,http request,yes,yes
http,provides,request,,yes
http,provides,header,yes,yes
http,runs_on,protocol,yes,yes
http,runs_on,socket,yes,yes
http,enables,internet web,yes,yes
http,enables,server file,yes,yes
http,supports,http response,yes,yes
http,supports,http messages,yes,yes
http,provides,request service,yes,yes
http,supports,web,yes,yes
port number,identifies,http connection,,yes
http,runs_on,client host,,yes
port number,identifies,server,yes,no
http,supports,server response,yes,yes
http,supports,client request,yes,yes
socket,connects_to,server side,yes,yes
socket,part_of,http client,yes,yes
socket,sends,http request message,yes,yes
socket,part_of,application interface,yes,yes
socket,sends,server message,yes,yes
socket,sends,http response message,yes,yes
socket,sends,client message,yes,yes
socket,sends,response,yes,yes
http,enables,data,no,yes
html file,part_of,http message,yes,yes
http,enables,request,yes,yes
html file,part_of,browser page,,yes
http,provides,message transfer,yes,yes
http,runs_on,server,no,yes
http,provides,client request,yes,yes
http,supports,a request,yes,yes
http,supports,web page,yes,yes
http,supports,header,yes,yes
http,supports,connection,yes,yes
web server,provides,response data,yes,yes
web server,implements,http response,no,yes
web server,sends,file,yes,yes
request line,part_of,http request message,yes,yes
web server,provides,client connection,no,yes
request line,part_of,http request messages,yes,yes
request line,part_of,http request header line,yes,no
http client,communicates_with,server,yes,yes
http client,communicates_with,web server,yes,yes
http client,communicates_with,host,yes,yes
header line,enables,message,yes,yes
header line,part_of,http message,yes,yes
status line,contains,protocol field,yes,yes
header line,enables,http request,no,yes
header line,part_of,client request,yes,yes
header line,enables,object bytes,no,yes
web server,sends,the http message,yes,yes
web server,provides,http message,,yes
web server,provides,page cache,no,yes
web server,sends,the message,no,yes
header line,part_of,http request message,yes,yes
browser,receives,server reply,yes,yes
browser,receives,response,yes,yes
browser,receives,http message,yes,yes
browser,is_a,http client,yes,yes
web server,implements,http cache,yes,yes
header line,part_of,message line,yes,no
browser,receives,header,yes,yes
browser,sends,web request,yes,yes
header line,part_of,http header,yes,yes
web server,sends,response message,yes,yes
browser,sends,request message,yes,yes
web server,provides,response header,yes,yes
web server,provides,page,yes,yes
web server,sends,response to client,yes,yes
web server,implements,reply message,,yes
browser,sends,header request,no,yes
web server,provides,cache file,yes,yes
web server,provides,http protocol,yes,yes
web server,sends,response to request,yes,yes
web server,sends,response to browser,yes,yes
cookie file,contains,cookie data,yes,yes
cookie file,contains,header line,yes,yes
cookie file,contains,browser data,yes,yes
cookie file,contains,host name,yes,yes
cookie file,contains,server name,,yes
http request,contains,header,yes,yes
http request,contains,header line,yes,yes
web cache,communicates_with,web server,yes,yes
http request,contains,cookie header,yes,yes
web cache,communicates_with,http client,yes,yes
web cache,communicates_with,user browser,yes,yes
web cache,connects_to,web server,yes,yes
web cache,communicates_with,cache server,yes,no
http,enables,cookie file,yes,yes
hotmail,implements,web application,no,yes
hotmail,implements,user mail,yes,no
hotmail,implements,http service,yes,no
web cache,connects_to,http server,yes,yes
web cache,is_a,cache,yes,yes
web cache,connects_to,network device,yes,yes
web cache,connects_to,client browser,yes,yes
web cache,communicates_with,server,yes,yes
web cache,communicates_with,browser,yes,yes
web cache,connects_to,server,yes,yes
web cache,communicates_with,client browser,yes,yes
web cache,communicates_with,http server,yes,yes
web cache,is_a,server,yes,yes
web cache,is_a,web server,yes,no
http request,contains,http request line,yes,yes
web cache,connects_to,application layer,yes,no
http request,contains,http request header,yes,yes
origin server,receives,client request,yes,yes
origin server,receives,http message,yes,yes
web cache,is_a,application,,yes
http request,contains,http request cookie,yes,yes
origin server,receives,connection,yes,yes
origin server,receives,web request,yes,yes
origin server,receives,request,yes,yes
origin server,sends,http message,yes,yes
origin server,receives,source address,no,yes
web cache,communicates_with,client,yes,yes
origin server,sends,the http message to client,yes,yes
web cache,connects_to,network,yes,yes
web cache,connects_to,client,yes,yes
web cache,connects_to,remote server,yes,yes
web cache,communicates_with,internet server,yes,yes
web cache,connects_to,client connection,yes,yes
web cache,is_a,http server,yes,yes
web cache,communicates_with,network,no,yes
web cache,is_a,server cache,yes,yes
web cache,is_a,application cache,yes,yes
web cache,is_a,cache server,yes,yes
institutional network,connects_to,gateway,yes,yes
institutional network,has_part,network device,yes,yes
web cache,connects_to,application server,yes,yes
web cache,is_a,service,yes,yes
web cache,is_a,computer program,no,yes
institutional network,connects_to,core network,,yes
institutional router,forwards,ip packet,yes,yes
institutional router,forwards,data packet,yes,yes
institutional router,forwards,internet message,yes,yes
internet router,receives,data packet,yes,yes
internet router,receives,network data,yes,yes
internet router,receives,routing data,yes,yes
institutional router,forwards,information transfer,,yes
web cache,is_a,network service,yes,yes
web cache,is_a,internet service,,yes
internet router,receives,the data,yes,yes
internet router,receives,the ip data,no,yes
internet router,receives,the network connection,yes,no
internet router,receives,the source data,yes,yes
web cache,communicates_with,internet,yes,yes
institutional network,has_part,access link,yes,yes
http,provides,cache service,yes,no
http,enables,server message,yes,yes
